facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
Chrispod Hospital & Diagnostic Centre,,"['internalMedicine', 'pathology']",[],[],"['Operates 24 hours daily as a private health care facility', 'Categorized as a primary health hospital', 'Serves the Dome area and its environs']",,
Chrispod Hospital and Diagnostic Center,Ga East Municipality,"['internalMedicine', 'gynecologyAndObstetrics', 'ophthalmology', 'radiology', 'pathology', 'pediatrics', 'emergencyMedicine', 'anesthesia', 'generalSurgery']","['Offers ENT services including diagnosis and treatment of ear, nose and throat disorders and balance/dizziness conditions', 'Provides obstetrics and gynecology services covering prenatal to postnatal care', 'Conducts comprehensive eye examinations and medical and surgical management of eye conditions in ophthalmology', 'Performs diagnostic imaging procedures including CT scans, MRI, mammography, and digital radiography']","['Operates two fully equipped operating theatres with recovery rooms and labour rooms', 'Has a newborn ward with 15-bed capacity', 'Uses MRI system BASDA with BASDA software platform', 'Maintains a Digital Mammography System with robust detector', 'Utilizes a Digital Radiography system', 'Employs a CT imaging system with Interleaved Volume Reconstruction (IVR)', 'Features state-of-the-art laboratories for diagnostic testing']","['Has a 120-bed capacity general hospital', 'Is an NHIS-accredited hospital', 'Provides 24/7 emergency service including ambulance support', 'Includes a mortuary with 30-body capacity cold room and autopsy room', 'Offers on-site laboratory services including blood tests, urinalysis, tissue testing and screening tests', 'Provides on-site pharmacy services through CHDC Pharmaceutical Care', 'Has a core staff strength of ten nurses, three doctors, and four radiographers']",,120-bed capacity general hospital
Christ Soteria Health Centre,ASHANTI,['internalMedicine'],[],[],"['Has provisional health centre licence', 'Practitioner in-charge is Rev. Boasiako Antwi', 'Licence issued on 2019-09-24; expiry on 2020-03-23']",,
Christian Medical Dental Services,,"['dentistry', 'pediatrics']","['Provides general dentistry services', 'Performs oral surgery', 'Offers dental implants', 'Conducts pediatric dentistry', 'Provides prosthodontics', 'Applies orthodontic braces', 'Offers cosmetic dentistry', 'Provides teeth whitening services']",[],['Provides professional dental solutions with modern technology and equipment'],,
Church of Christ Health Centre,,['internalMedicine'],[],[],"['Operates as a hospital', 'Located in Yendi, Ghana', 'Always open']",,
City Centre Clinic,ASHANTI,['internalMedicine'],[],[],"['City Centre Clinic Limited operates as a clinic in Kumasi, Kumasi Metropolitan District, Ashanti Region', 'Has a provisional licence to operate as a clinic issued by HeFRA on 2019-09-13 with expiry on 2020-03-12', 'Dr. Patrick Eric Karikari is the practitioner in charge']",,
City of Hope,,"['gynecologyAndObstetrics', 'pathology', 'emergencyMedicine']","['Provides IVF fertility treatment at the Fertility Center', 'Performed gynecological examinations', 'Offers antenatal care services']",[],"['Operates Fertility Center, Gynaecology Center, and DNA Center in Lashibi, Accra, Ghana', 'Offers appointments 24 hours a day, 7 days a week']",,
"Claron Health International – No 2, Dodi Link, Between Volta Street and Akosombo Road, Airport Residential, Accra, Ghana",Greater Accra,"['ophthalmology', 'dentistry', 'gynecologyAndObstetrics', 'pediatrics', 'emergencyMedicine', 'infectiousDiseases']","['Offers specialist eye care services at the Eye Care Center', 'Provides routine dental care and services at the Dental Center', 'Conducts minor surgical procedures in the Walk-in OPD', 'Performs COVID-19 testing including PCR, rapid antigen, and antibody tests', 'Conducts DNA paternity testing using DNA profiles', 'Tests for Chlamydia, Hepatitis B and C viral load, HIV viral load, CD4, HbA1c, and HPV']","['Operates a mobile X-ray unit', 'Uses ECG equipment', 'Utilizes spirometry equipment', 'Maintains a fully equipped emergency response vehicle']","['Provides emergency medical services with a fully equipped vehicle for rapid response', 'Offers onsite medical support, first aid, and ambulance services through Event Medical Services', 'Delivers molecular lab tests for infectious diseases at the Molecular and Diagnostic Center', 'Offers same-day results for all major laboratory testing', 'Provides remote site medical services for mining, factories, and remote locations', 'Includes a Worksmart program with field audiometry, ECG, spirometry, eye exams, mobile X-ray, and drug screening with 24-hour results']",,
COA Research & Manufacturing,,[],[],[],[],,
"Comboni Hospital, Sogakofe",,['internalMedicine'],[],[],['Open 24/7'],,
Community 22 Polyclinic,,"['gynecologyAndObstetrics', 'pediatrics', 'radiology', 'generalSurgery', 'internalMedicine', 'ophthalmology']","['Offers Family Planning Services', 'Provides ultrasound scanning']","['Has operating theatre', 'Has an on-site laboratory', 'Has a maternity ward', 'Operates Outpatient Department (OPD)', 'Has paediatric wards', 'Has Eye department / Eye clinic', 'Has ENT department']","['Serves residents of Ashaiman and Tema', 'Always open', 'New ultra-modern GHS Polyclinic']",,
Community Dental Practice,,['dentistry'],[],[],"['Operates as a dentist and dental office', 'Prioritizes client health, appearance, and confidence']",,
Core Care Diagnostic Centre,,"['internalMedicine', 'pathology', 'radiology', 'cardiology']","['Offers ECG testing', 'Provides laboratory testing', 'Provides diagnostic imaging scans', 'Conducts health screening tests']",[],"['Specializes in internal medicine, pathology, radiology, and cardiology', 'Offers home nursing services', 'Provides health screening services', 'Provides health education services']",,
Cosmopolitan Medical Centre,,"['gynecologyAndObstetrics', 'generalSurgery', 'ophthalmology', 'internalMedicine']","['Offers surgeries', 'Provides maternity care']",[],"['Provides comprehensive medical care including surgeries, maternity, pharmacy, and optical care', 'Has highly trained and professional staff']",,
County Hospital Ghana,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Provides award-winning service']",,
Craddle Care Maternity Hospital Trust,,['gynecologyAndObstetrics'],[],[],"['Specializes in gynecology and obstetrics', 'Offers internal medicine services', 'Provides obstetrics and maternity care', 'Mission statement focuses on improving maternal mortality through evidence-based care']",,
Crown Medical Centre Ghana,,"['internalMedicine', 'dentistry']",['Offers dental services'],[],[],,
Crystal Eye Clinic,,['ophthalmology'],"['Performs YAG laser capsulotomy', 'Conducts eye surgery', 'Offers refraction services', 'Performs cornea transplant', 'Provides visual field testing', 'Utilizes OCT imaging (Optical Coherence Tomography)']","['Uses OCT imaging equipment (Optical Coherence Tomography)', 'Operates YAG laser system']","['Specializes in ophthalmology, cornea ophthalmology, and glaucoma ophthalmology', 'Aims to provide affordable quality eye-care in an accessible, safe and friendly environment', 'Aspires to be a world class eye-care provider']",,
Crystal Eye Clinic Ghana,,['ophthalmology'],[],[],"['Specializes in ophthalmology', 'Founded in 2003 by Dr. James and Dr. Mrs. Edith Clarke']",,
Cura Healthcare Services,Greater Accra,"['radiology', 'cardiology', 'pathology']","['Provides ultrasound imaging (scans)', 'Offers echocardiography', 'Conducts ECG']","['Uses ultrasound imaging equipment', 'Has ECG machine', 'Maintains general medical laboratory equipment for diagnostic testing']","['Offers mobile/home diagnostic services', 'Provides doctor consultations']",,
Daffiama Health Centre,,['internalMedicine'],[],[],['Open 24 hours'],,
Dakopon Hospital,,"['internalMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'pediatrics', 'pathology', 'radiology']","['Offers services including general medicine', 'Performs general surgery', ""Provides women's health services"", 'Conducts obstetrics and gynecology services', 'Offers family planning and complex contraception', 'Provides child health services', 'Operates a child welfare clinic', 'Offers laboratory and ultrasound services', 'Provides home care services']",[],"['Open 24/7', 'Located in Tikrom, Ghana']",,
Dakopon Specialist Hospital,,"['internalMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'pediatrics', 'pathology', 'radiology']","['Offers general medicine services', 'Offers general surgery services', ""Offers women's health services"", 'Offers obstetrics and gynecology (OBGYN) services', 'Offers family planning', 'Offers child health services', 'Operates a child welfare clinic', 'Provides laboratory and ultrasound diagnostic services']",[],['Open 24 hours a day'],,
Daksa Dental Clinic,,['dentistry'],[],[],[],,
Dande Natural Herbal Clinic,,[],[],['Uses a diagnostic machine for diagnoses'],['Provides health care services'],,
Dangme WEST Hospital Complex,,"['internalMedicine', 'pathology']","['Offers general hospital services to all kinds of sicknesses and diseases', 'Provides laboratory testing']",[],[],,
DANK Natural Healthcare Complex,,[],['Advertises regular checkups'],[],['Certified herbal center and clinic approved by Ministry of Health'],,
Danpong HealthCare,,"['pediatrics', 'radiology', 'orthopedicSurgery', 'dentistry', 'generalSurgery', 'emergencyMedicine']",['Performs radiological procedures using advanced imaging technology'],['Uses X-ray machine with advanced technology'],"['Offers 24/7 support at Spintex and Nungua branches', 'Provides ambulance service for pre-hospital emergency care', 'Pharmacy provides 24-hour service', 'Founded in 1989 as Danpong Pharmacy (GH) Ltd', 'First pharmacy opened in 1991 at Nungua with eight workers', 'Offers clinics/departments including Imaging, General Clinic, ENT, Medical Lab, Pharmacy, X-ray, Urology, Paediatrics, Dietician, Diabetic & Hypertensive Clinic, Dental Clinic, Psychologist, Optometry & Optical Services, Orthopedic Clinic', 'Provides homecare services through Danpong on Wheels', 'Accepts insurance from over 30 local and international providers', 'Available on Google Play and Apple App Store']",,
Danpong Healthcare,,['internalMedicine'],['Provides comprehensive medical screenings for corporate teams'],[],"['Has operated for 34 years', 'Mission is to provide accessible healthcare for all']",,
Dar-Bem Clinic,Greater Accra,"['ophthalmology', 'gynecologyAndObstetrics']",[],[],"['Offers services in internal medicine, ophthalmology, gynecology and obstetrics, otolaryngology, and public health', 'Has visiting specialists including ophthalmologists, gynecologists, and ENT specialists']",,
Dare Labs,,['pathology'],[],[],"['Dare Labs is a medical laboratory located in Kumasi, Ghana.']",,
Datmac Laboratory Services,,['pathology'],[],[],['Datmac Laboratory Services is a medical laboratory.'],,
De Santi Dental Clinic,,['dentistry'],"['Offers general dental care', 'Provides cosmetic dentistry']",[],[],,
DEL Dental and Implant Clinic,Greater Accra,['dentistry'],[],[],['Focuses on overall oral health'],,
DEL International Hospital,Greater Accra Region,"['gynecologyAndObstetrics', 'radiology', 'pathology', 'internalMedicine', 'emergencyMedicine', 'generalSurgery']","['Offers intrauterine insemination (IUI) procedures', 'Provides general surgery services']","['On-site radiology department offering X-ray and fluoroscopy imaging', 'On-site laboratory facilities for diagnostic testing']","['24/7 emergency department with ambulance rapid response', 'Offers online consultations', 'On-site 24-hour pharmacy', 'Laboratory services operate from 8:00 AM to 8:00 PM', 'Fertility Center with IUI procedures', 'Serves the Accra Metropolis in the Greater Accra Region, Ghana', 'Provides varying in-patient and out-patient services']",,
"Dental Service - Dzorwulu, 1st Osu Badu Street, Accra, Ghana",,['dentistry'],['Provides general dentistry services'],[],"['Specializes in general dentistry', 'Always open for patient services']",,
DerArt Dental Clinic,,['dentistry'],[],[],[],,
Deseret Hospital Accra Ghana,,"['internalMedicine', 'generalSurgery', 'dentistry', 'pathology']","['Performs general surgical procedures', 'Provides maternal and child healthcare services', 'Offers family planning services', 'Provides diabetic clinic services', 'Offers physiotherapy services']",[],"['Offers National Health Insurance Services', 'Provides general outpatient services', 'Has served Ghana since 1979', 'Vision: To become the best healthcare service provider in West Africa and beyond', 'Mission: To provide quality accessible healthcare for all patients irrespective of race, color, creed, tribe, tradition or gender']",,
Destiny Hospital,,['internalMedicine'],[],[],"['Destiny Hospital is a private healthcare facility located in Kumasi Amanfrom, Kumasi, Ghana']",,
Dexter Medical Centre,,"['internalMedicine', 'familyMedicine']",[],[],"['Provides world-class primary and specialist healthcare services', 'Offers primary and specialist healthcare within the family and community context']",,
Divine Sanitas Medical Center,Central Region,['internalMedicine'],[],[],"['Divine Sanitas Medical Center is a diagnostic and treatment clinic', 'Located in the Central Region of Ghana', 'Always open']",,
Divine Smile Dental Care,,['dentistry'],"['Offers comprehensive dental examinations', 'Provides teeth cleaning services', 'Specializes in orthodontics']",[],"['Describes itself as a patient-centered dental practice', 'Provides a welcoming environment for patients']",,
Divine Trinity Health Center,,"['internalMedicine', 'radiology']",[],['Has a special machine to detect any problems'],"['Located in Sefwi Bekwai, Ghana']",,
Doctore Opoku Hospital (Kumasi road),,['internalMedicine'],[],[],['Offers internal medicine services'],,
"Doctors in Service Clinic - Abura, Cape Coast, Ghana",,['internalMedicine'],[],[],['Provides excellent healthcare at a lesser cost'],,
Dokrochiwa Health Centre,,['internalMedicine'],[],[],"['Dokrochiwa Health Centre is a hospital located in Oyarifa, Ghana.', 'Dokrochiwa Health Centre operates 24/7.']",,
Doku Memorial Clinic,Greater Accra,['internalMedicine'],[],[],"['Doku Memorial Clinic is a private hospital located in Greater Accra, Madina, Ghana']",,
Dominase Adventist Hospital,Ashanti,['internalMedicine'],[],[],"['Established in 1989', 'Has 60 patient beds', 'Located in Bekwai-Ashanti, Ghana', 'Organizational Unit: Ashanti South Ghana Conference']",,
DomLey Herbal Center,,[],"['Advertises herbal cures for childlessness', 'Advertises herbal cures for hernia', 'Advertises herbal cures for fibroid', 'Advertises herbal cures for asthma']",[],['Uses fresh and authentic herbs in curing various diseases'],,
Dompim Health Centre,Western,['internalMedicine'],[],[],"['Dompim Health Centre is a government health centre in Western, Dompim Ghana.']",,
Donkorkrom Presby Hospital,,['internalMedicine'],[],[],"['Open 24 hours a day', 'Located in Odonkawkrom, Ghana']",,
Dormaa Presbyterian Hospital,,"['internalMedicine', 'pediatrics']",[],[],"['Offers internal medicine services', 'Provides pediatric care']",,
Dr. Awuah Sankofa Natural Health Clinic,,['internalMedicine'],['Treats and manages all kinds of diseases'],['Has a modern diagnostic centre'],['Offers online booking'],,
Dr. Martin Curry Dentistry,,"['dentistry', 'radiology']","['Offers Digital X-ray imaging with OPG, periapical, and bitewing views', 'Provides Scaling and Polishing services', 'Performs Cosmetic Surgery']","['Uses a Digital X-ray system capable of OPG, periapical, and bitewing imaging']",[],,
Dr. Power Herbal Clinic TV,,"['internalMedicine', 'gynecologyAndObstetrics', 'infectiousDiseases']","['Provides treatment for stroke', 'Offers treatment for hepatitis B', 'Treats fibroids', 'Manages asthma', 'Provides care for diabetes']",[],"['Offers spiritual and physical healing for illnesses', 'Based in Accra, Ghana']",,
Dreams Fertility And Alt Clinic,Greater Accra Region,['gynecologyAndObstetrics'],"['Provides male infertility treatment', 'Provides female infertility treatment', 'Provides fibroid and cyst treatment', 'Provides treatment for irregular menstrual cycle']",[],"['Offers holistic fertility services including herbal medicine, maternal reflexology, and nutrition', 'Clinic is led by a holistic fertility practitioner with over 20 years of infertility treatment experience']",,
Dreams Fertility Clinic,,['gynecologyAndObstetrics'],['Specializes in fertility care'],[],['Led by a fertility doctor with over 20 years of experience'],,
Drifney Dental Services,Accra,['dentistry'],['Offers laser teeth whitening services'],[],[],,
Dungu,,['internalMedicine'],[],[],"['Operates as a health professional training facility in Tamale, Ghana', 'Open 24/7']",,
Dunkwa Municipal Hospital,,['internalMedicine'],[],[],['Open 24/7'],,
E.M. Ayisi Medical Centre,,"['internalMedicine', 'generalSurgery']",['Offers general surgery services'],['Launched a new operating room in October 2023'],"['Provides internal medicine services', 'Open to surgical collaborations']",,
"Eastern View Skin Clinic, Berekum",,[],"['Performs scar removal', 'Offers stretch mark treatment', 'Provides keloid treatment', 'Conducts tattoo removal', 'Treats dark spots', 'Offers facials', 'Provides hyperpigmentation treatment', 'Treats melasma', 'Offers acne treatment']",[],"['Specializes in dermatology', 'Offers free facial treatments for hyperpigmentation, melasma, dark spots, and acne']",,
Eastside Life Hospital,Upper East Region,"['ophthalmology', 'radiology', 'internalMedicine', 'pediatrics', 'cardiology', 'anesthesia', 'generalSurgery']","['Performs X-ray imaging', 'Performs CT scans', 'Performs 4D ultrasound', 'Performs electrocardiogram (ECG)', 'Performs cardiotocography (CTG)']","['Uses X-ray equipment', 'Uses CT scan equipment', 'Uses 4D ultrasound equipment']","['Offers services in ophthalmology', 'Offers anesthesiology services', 'Has a pediatrics department', 'Has an internal medicine department', 'Has a radiology department with X-ray and CT capabilities', 'Has a sonography (ultrasound) department', 'Provides general practitioner (GP) services', 'Offers maternal-fetal medicine or perinatology services', 'Has a cardiology department']",,
Eden Specialist Hospital,Greater Accra,['internalMedicine'],[],[],"['Private hospital located in Greater Accra, North Kaneshie, Ghana']",,
Ef-Dek Ear Center,,[],[],[],"['Specialty center of excellence in the delivery of primary care', 'Focuses on otolaryngology']",,
Effiduase Govt. Hospital,Ashanti Region,['internalMedicine'],[],[],[],,
EGAM CLINIC,,['internalMedicine'],[],[],['NHIS accredited'],,
Egon German Clinic,Greater Accra,['internalMedicine'],[],[],[],,
Ejura District Hospital,,['internalMedicine'],[],[],"['Government primary hospital', 'NHIS accredited', 'Open 24 hours daily']",,
Elpis Wound Care Center,Ledzokuku-Krowor,[],['Specializes in wound healing and dermatologic regenerative medicine'],[],"['Located in Teshie, Ledzokuku-Krowor, Accra, Ghana']",,
Elubo Health Center,,['internalMedicine'],[],[],"['Type: Health Centre', 'Ownership: Government', 'Services: General', 'NHIS accredited: yes']",,
Emmanuel Eye Clinic - Shiashie,,['ophthalmology'],[],[],"['Specializes in ophthalmology', 'Open 24/7']",,
Emmanuel Eye Medical Centre,,['ophthalmology'],[],[],['Specializes in ophthalmology'],,
"Empat-Caiquo Medical Centre - Adjacent SOS Children's Village, Hermann-Gmeiner Road, Tema, Ghana",,"['pediatrics', 'internalMedicine']",[],[],"['Offers internal medicine services', 'Listed as a hospital on Facebook', 'Has approximately 1,000 likes and 1,000 followers on Facebook', 'Facebook page indicates the business is always open']",,
Enchi Government Hospital,Western North Region,['internalMedicine'],[],[],"['Operates as a primary care municipal hospital', 'Open 24/7']",,
Eric Heymann Memorial Hospital,,['internalMedicine'],[],[],"['Operates 24/7', 'Identifies itself as a community-based facility providing accessible healthcare']",,
Essandoh Memorial Clinic,,['internalMedicine'],[],[],[],,
Essence Medical Laboratory,,"['pathology', 'radiology']","['Performs laboratory testing across biochemistry, immunology and serology, haematology, parasitology, andrology, and microbiology', 'Provides radiography services including X-Ray, ECG, and Ultrasound']","['Radiography equipment capable of X-Ray imaging, ECG measurement, and Ultrasound imaging', 'On-site laboratory equipment used for biochemical, immunology/serology, hematology, parasitology, and microbiology analyses']","['Jointly established with TCM Hospital Of Sichuan Province and Hospital Of Chengdu University Of TCM', 'Maintains quality assurance with experienced professionals and regulatory compliance']",,
"Evangelical Church of Ghana Hospital, Kpandai",Northern Region,['internalMedicine'],[],[],"['Member of Christian Health Association of Ghana (CHAG)', 'Located in Kpandai, Northern Region, Ghana']",,
"Ever-Youth Alternative Health Center (South Suntreso off Cambridge School, Kumasi, Ghana)",,[],[],[],"['Pioneer of quality health', 'Offers health education', 'Provides job vacancies for people']",,
Evergreen Natural Wellness Clinic,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Evergreen Opticals,,['ophthalmology'],[],[],"['Operates as an optical center', 'Provides all types of optical and prescription lenses', 'Sells assorted spectacles']",,
"Evergreen Opticals - Burma Camp, Recce Junction",,['ophthalmology'],['Offers visual acuity testing for eye examination'],[],"['Has over 25 years of experience in eyewear retail and optical services', 'Provides online ordering and home delivery for eyewear', 'Accepts prescription uploads via the Upload Your Prescription option']",,
Excel Dental Clinic,,['dentistry'],"['Offers oral health consultations', 'Provides complete dental services with emphasis on prevention', 'Uses restorative and cosmetic dentistry', 'Provides comprehensive treatment planning']",[],"['Emphasizes prevention in dental care', 'Provides personalized attention in dental services', 'Offers world-class dental care']",,
"Excel Dental Clinic - Abofu Traffic Lights, Achimota, Accra, Ghana",,['dentistry'],[],[],"['Excel Dental Clinic is officially registered as a limited liability company in the Ghana Health Industry.', 'Identified as a general dentist by its Facebook page.']",,
Excellent EyeCare Ghana,Greater Accra,['ophthalmology'],['Offers comprehensive eye examinations and diagnostic services'],['Has modern eye equipment for comprehensive examination and diagnosis'],['Participates in World Glaucoma Week 2025 to promote glaucoma awareness'],,
Executiveheartcentre_Social,,['cardiology'],['Specializes in diagnosing all types of cardiovascular diseases'],['Uses cutting-edge technology'],['Is an ultra-modern cardiology clinic'],,
Eye Hospital In Accra,,"['ophthalmology', 'pediatrics']","['Offers PDEK corneal surgery', 'Provides refractive surgery', 'Conducts cosmetic oculoplasty procedures', 'Conducts therapeutic oculoplasty procedures', 'Provides Anti-VEGF therapy for retinal conditions', 'Offers paediatric ophthalmology services', 'Provides neuro-ophthalmology services', 'Offers vitreo-retinal services', 'Provides ocular oncology services', 'Offers general ophthalmology services', 'Provides cataract services', 'Offers diabetic retinopathy services', 'Provides retinal detachment services', 'Offers glaucoma services', 'Provides cornea services', 'Offers retina services', 'Provides optical services', 'Offers pharmacy services']",[],"['Specializes in various ophthalmology services including diabetic retinopathy, retinal detachment, glaucoma, cataract, cornea, retina, general ophthalmology, refractive surgery, neuro-ophthalmology, and ocular oncology', 'Offers paediatric ophthalmology services', 'Provides therapeutic and cosmetic oculoplasty procedures']",,
Eye To Eye Clinic,,"['ophthalmology', 'dentistry']","['Offers general eyecare and examination services', 'Provides optical services', 'Performs eye surgery', 'Conducts eye diagnostics', 'Offers rehabilitation services', 'Provides general dental services']",[],['Functions as a total eyecare provider'],,
FAB Mercy Dialysis Center,,['nephrology'],['Provides dialysis services'],[],"['Specializes in nephrology', 'Offers high standards of privacy during dialysis services']",,
Faith Evangelical Mission Hospital,,"['internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'radiology', 'dentistry']","['Provides ultrasound (Ultra Scan) services', 'Offers surgical services']",['Has an on-site laboratory'],"['Offers 24-hour walk-in medical care for adults and children', 'Open seven days a week, 24 hours a day', 'Maintains short waiting times', 'No appointment is needed', 'Departments include Obstetrics/Gynaecology, Urology, Antenatal Clinic, ENT, Eye Services, Physician Specialist, Home Care Services, Ultra Scan Services, ECG Services, Dental Clinic, Pharmacy, Out Patient, In Patient/Admissions, and Surgery']",,
"Faith Valley Clinic - Tarkwa, Ghana",Western Region,[],[],[],[],,
Family Health Centre,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Fankyenebra Hospital,,"['gynecologyAndObstetrics', 'radiology', 'generalSurgery', 'pathology', 'ophthalmology', 'internalMedicine']","['Offers ultrasound examinations', 'Provides surgical services', 'Offers psychological therapy (counselling) services', 'Provides obstetrics and gynecology services', 'Provides physiotherapy services (massage)']",[],"['Provides 24-hour services', 'Offers general outpatient department (OPD) services', 'Provides inpatient admission services', 'Offers eye clinic services', 'Provides on-site laboratory services', 'Health insurance packages available']",,
Finney Hospital and Fertility Centre,,"['internalMedicine', 'gynecologyAndObstetrics']",[],[],"['Specializes in reproductive endocrinology and infertility', 'Offers internal medicine services']",,
Fire Medical Centre - Ghana,Greater Accra,['internalMedicine'],[],[],"['Fire Medical Centre is a government clinic located in Greater Accra, James Town, Ghana.']",,
"Fire Service Medical Center, James Town",,['internalMedicine'],[],[],[],,
First Care Hospital,,['internalMedicine'],[],[],['Offers internal medicine services'],,
FirstCare Health Services,,"['nephrology', 'internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'pediatrics', 'pathology']","['Provides renal dialysis services', 'Offers internal medicine services', 'Provides obstetrics and gynecology services', 'Offers ear, nose and throat (ENT) services', 'Conducts general surgery services', 'Offers pediatrics services', 'Provides psychiatry and psychotherapy services', 'Conducts ultrasound imaging services', 'Performs ECG testing services', 'Offers Holter monitoring services', 'Provides laboratory services']","['Uses ultrasound imaging equipment', 'Operates ECG monitoring equipment', 'Utilizes Holter monitoring equipment', 'Maintains on-site laboratory equipment']","['Has a renal unit on site', 'Aims to create multifaceted health subsidiaries to serve the northern sector of Ghana', 'Focuses on quality health provision through direct services and training']",,
FOCOS Orthopaedic Hospital Ghana,,"['orthopedicSurgery', 'internalMedicine', 'generalSurgery']",['Performs spine and spine deformity surgery'],[],"['Orthopaedic specialist center in Ghana providing holistic complex surgical care, diagnostics, research and teaching', 'Offers diagnostic services', 'Engages in research and teaching']",,
Forever Champion Health Centre,,[],[],[],"['Offers holistic well-being and organic health care', 'Provides ultra modern healthcare services with safe and quality organic/alternative treatment methods']",,
Forever Medicals GH,,['internalMedicine'],[],['Supplies medical equipment and PPE supplies'],['Operates as a medical center'],,
Fr. Thomas Alan Rooney Memorial Catholic Hospital,Western Region,['internalMedicine'],[],[],"['Fr. Thomas Alan Rooney Memorial Catholic Hospital is a district hospital in the Western Region of Ghana.', 'Fr. Thomas Alan Rooney Memorial Catholic Hospital is located in Asankrangua in the Amenfi West District.', 'Fr. Thomas Alan Rooney Memorial Catholic Hospital is listed as a CHST Hospital under the Catholic Health Service Trust Ghana.']",,
Framada Dental Clinic,,"['dentistry', 'pediatrics', 'generalSurgery']","['Offers general dentistry', 'Offers orthodontics', 'Offers restorative dentistry', 'Offers maxillofacial surgery', 'Offers periodontics', 'Offers paediatric dentistry']",[],[],,
Franklyn Medical Center,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Freshwater Wellness & Therapeutic Clinic Ghana,Greater Accra,['internalMedicine'],[],[],"['Offers health, wellness and therapy services']",,
Ga East Municipal Hospital,,"['dentistry', 'internalMedicine']",[],[],"['Offers online booking', 'Offers delivery service', 'Describes itself as the home of ultramodern health care delivery']",,
Ga South Municipal Hospital,,['internalMedicine'],[],[],[],,
"Gak Clinic - Osu, Accra",Greater Accra,['internalMedicine'],[],[],['Provides services in Health & Medical Centers - Health Clinics'],,
Garden City Royal Hospital and Cancer Centre,,"['emergencyMedicine', 'medicalOncology', 'pediatrics', 'gynecologyAndObstetrics', 'ophthalmology', 'familyMedicine', 'internalMedicine', 'orthopedicSurgery']","['Provides oncology services', 'Offers dermatology services', 'Offers general practice services', 'Offers orthopaedic services', 'Offers maternity services', 'Offers paediatrics services', 'Offers ophthalmology services', 'Offers diabetes management services', 'Offers ear, nose and throat (ENT) services', 'Offers dietetics services']",[],"['Offers 24/7 emergency services', 'Offers 24/7 online support', 'Has a dedicated diagnostic center with leading doctors', 'Provides advanced levels of diagnosis and treatment', 'Ensures every patient receives international-standard healthcare']",,
GARH- RIDGE,Greater Accra,['internalMedicine'],[],[],"['Provides excellent clinical, teaching, and research services']",,
Gastrointestinal Diseases and Endoscopy Centre,Greater Accra,"['internalMedicine', 'generalSurgery']","['Performs Endoscopy', 'Performs Gastroscopy', 'Performs Colonoscopy', 'Performs Capsule Endoscopy', 'Performs Endoscopic Ultrasound (EUS)', 'Performs Endoscopic Retrograde Cholangiopancreatography (ERCP)']",['Endoscopy theatre unit equipped with the latest processors and endoscopes'],"['Specializes in prevention, diagnosis and treatment of digestive tract and liver conditions including the oesophagus, stomach, small intestine, colon, pancreas, liver and gallbladder', 'Provides gastroenterology and general medicine services']",,
"Gb Dental Clinic (Kwashieman Bus Stop, Kwashieman, Ghana)",,['dentistry'],['Operates as a general dental clinic'],[],"['Describes itself as a professional, friendly, and caring dental practice']",,
GCD Hospital,Eastern,['internalMedicine'],[],[],"['GCD Hospital is a quasi-government hospital located in Eastern, Akwatia, Ghana.']",,
"Gemar Healthcare, Agona Nkwanta",,['generalSurgery'],[],[],"['NHIS-accredited private clinic', 'Offers general services']",,
General Clinic,,"['pediatrics', 'radiology', 'generalSurgery', 'internalMedicine']","['Provides pediatric care through the Pediatrics Clinic', 'Offers diagnosis, treatment, and rehabilitation for ENT conditions at the Ear Nose and Throat Clinic', 'Diagnoses and treats orthopedic problems and musculoskeletal injuries at the Orthopedic Clinic', 'Provides diagnosis and specialized care for urinary tract and reproductive system at the Urology Clinic', 'Offers individual, couples, and family therapy at the Psychology Clinic', 'Provides routine eye exams and surgery through Optometry & Ophthalmology services', 'Offers a comprehensive functional medicine-based program at the Diabetic & Hypertensive Clinic', 'Provides pre-hospital emergency care through ambulance service', 'Offers home visits through Danpong On Wheels homecare service']","['Uses an advanced X-ray machine for differentiating structures', 'Maintains a medical laboratory equipped to provide accurate results', 'Operates ambulances equipped for urgent medical care']","['General Clinic has 5 branches', 'Spintex and Nungua branches provide 24/7 support', 'Operates a 24-hour pharmacy service', 'Emphasizes patient care under one roof with an experienced medical team']",,
Genesis Homeopathic Clinic,,[],"['Specializes in chronic diseases', 'Offers alternative and holistic health services']",[],['Focuses on chronic disease prevention and lifestyle medicine'],,
Gengimed Dental Clinic,,['dentistry'],"['Offers teeth whitening services', 'Performs dental scaling', 'Provides dental polishing', 'Conducts tooth extractions', 'Offers dental fillings', 'Provides crown placements', 'Performs dental implant procedures', 'Offers orthodontic braces', 'Provides dental replacements']",[],"['Offers free dental screening at all branches from March 20, 2024 to March 23, 2024']",,
